"(-0.1971, 0.47499999999999998, -0.4254, -0.1148, -0.074800000000000005)",[ 3.6135 -0.022   0.25  ]
"(-0.47539999999999999, -0.45379999999999998, 0.38600000000000001, -0.36380000000000001, -0.25359999999999999)",[ 3.0301 -1.7486  0.25  ]
"(-0.0099000000000000008, -0.24879999999999999, 0.30049999999999999, 0.19009999999999999, 0.2019)",[ 3.5448  0.8098  0.25  ]
"(-0.31719999999999998, 0.45500000000000002, -0.46529999999999999, -0.15529999999999999, -0.34470000000000001)",[ 3.3693 -1.1054  0.25  ]
"(-0.4728, 0.035000000000000003, 0.13539999999999999, 0.0843, 0.45479999999999998)",[ 3.2455  1.6102  0.25  ]
"(-0.23849999999999999, -0.32100000000000001, 0.36670000000000003, -0.016199999999999999, 0.42020000000000002)",[ 3.507  1.013  0.25 ]
"(-0.14630000000000001, -0.1381, -0.22819999999999999, 0.34200000000000003, 0.38219999999999998)",[ 3.5705  0.8167  0.25  ]
"(0.22489999999999999, 0.28689999999999999, 0.29670000000000002, 0.24590000000000001, 0.4768)",[ 2.1579  2.5607  0.25  ]
"(0.1061, -0.49469999999999997, -0.3836, -0.2346, -0.30430000000000001)",[ 2.0964 -2.5228  0.25  ]
"(0.17019999999999999, -0.36859999999999998, -0.24879999999999999, -0.089300000000000004, -0.13800000000000001)",[ 3.0851 -1.7361  0.25  ]
"(0.49149999999999999, -0.21740000000000001, 0.17299999999999999, 0.073899999999999993, 0.30230000000000001)",[ 3.4514  1.0326  0.25  ]
"(0.1125, -0.33839999999999998, -0.42770000000000002, 0.29170000000000001, -0.49809999999999999)",[ 2.4475 -2.463   0.25  ]
"(-0.2351, 0.43440000000000001, 0.0152, 0.12540000000000001, -0.25669999999999998)",[ 3.6272  0.2966  0.25  ]
"(0.21379999999999999, -0.2293, 0.45900000000000002, 0.3463, 0.1913)",[ 3.2495  1.2341  0.25  ]
"(-0.16520000000000001, -0.47720000000000001, -0.1991, 0.067900000000000002, 0.1031)",[ 3.2849 -1.3216  0.25  ]
"(-0.45129999999999998, 0.4778, -0.35149999999999998, -0.27210000000000001, -0.34200000000000003)",[ 3.3861 -0.9586  0.25  ]
"(0.017100000000000001, -0.2298, -0.47789999999999999, 0.35460000000000003, -0.17050000000000001)",[ 3.2741 -1.4419  0.25  ]
"(0.097100000000000006, 0.022599999999999999, 0.25169999999999998, 0.029499999999999998, 0.29310000000000003)",[ 3.3313  1.4444  0.25  ]
"(0.094899999999999998, -0.13789999999999999, -0.35959999999999998, -0.26219999999999999, 0.42259999999999998)",[ 3.5461  0.026   0.25  ]
"(-0.41360000000000002, 0.32990000000000003, 0.0092999999999999992, -0.27010000000000001, 0.040399999999999998)",[ 3.5777  0.5007  0.25  ]
"(-0.2412, 0.020500000000000001, 0.16070000000000001, 0.030300000000000001, 0.41980000000000001)",[ 3.2984  1.5564  0.25  ]
